"Zipcode","Borough","Household_Income_Change","White_Income_Change","WhiteAlone_Income_Change","Black_Income_Change","Asian_Income_Change","Hispanic_Income_Change"
11416,"Queens",37.2,40.2,37.9,29.9,46,32.4
11417,"Queens",20.6,3.69999999999999,7.00000000000001,33.2,54.6,0.69999999999999
11418,"Queens",18.1,14.9,12.5,12.4,28.7,15.7
11419,"Queens",38.2,39.7,-3.3,47.9,38,24.6
11420,"Queens",47.9,50.2,73.5,66.6,26.5,50.9
11421,"Queens",17.8,42,32.8,28.1,20,8.80000000000001
11422,"Queens",16.6,-8.8,31.5,16.6,-33.1,-6.2
11423,"Queens",19.6,4.49999999999999,13.3,21.6,9.5,-16.9
11426,"Queens",34.7,39.5,28.2,163.9,31.4,14
11427,"Queens",16.2,49.4,45.3,37.6,3.69999999999999,12.3
11428,"Queens",25,3.69999999999999,7.20000000000001,25.6,56.3,16.8
11429,"Queens",19,29.2,9.9,18.4,28.2,39.2
11432,"Queens",35.9,49.5,44.6,41,37.3,18.9
11433,"Queens",49.8,45.9,NA,40.6,25,41.5
11434,"Queens",18.2,32.1,NA,19.4,12.5,31.5
11435,"Queens",29.2,26,25.8,12.2,48.7,46.8
11436,"Queens",26.6,79.6,209.6,30,18.7,8.5
11691,"Queens",39.4,54.4,45.9,19.7,NA,69.7
11692,"Queens",25.9,52.4,23.3,17.6,NA,31
11693,"Queens",26.6,33.5,22.6,41.8,228,118.7
11694,"Queens",29.2,29.1,27.4,-6.5,NA,40.8
11697,"Queens",34.8,42.7,51.9,NA,NA,NA
10279,"Manhattan",NA,NA,NA,NA,NA,NA
11249,"Brooklyn",NA,NA,NA,NA,NA,NA
